system,file,service,fault,case,rank_torai,rank_pp,correct_torai,correct_pp
RE3-OB,adservice_f3_1.json,adservice,f3,1,2,1,False,True
RE3-OB,adservice_f3_2.json,adservice,f3,2,2,1,False,True
RE3-OB,adservice_f3_3.json,adservice,f3,3,2,1,False,True
RE3-OB,adservice_f4_1.json,adservice,f4,1,2,1,False,True
RE3-OB,adservice_f4_2.json,adservice,f4,2,2,1,False,True
RE3-OB,adservice_f4_3.json,adservice,f4,3,2,1,False,True
RE3-OB,adservice_f5_1.json,adservice,f5,1,2,1,False,True
RE3-OB,adservice_f5_2.json,adservice,f5,2,2,1,False,True
RE3-OB,adservice_f5_3.json,adservice,f5,3,2,1,False,True
RE3-OB,cartservice_f1_1.json,cartservice,f1,1,2,1,False,True
RE3-OB,cartservice_f1_2.json,cartservice,f1,2,2,1,False,True
RE3-OB,cartservice_f1_3.json,cartservice,f1,3,2,1,False,True
RE3-OB,currencyservice_f1_1.json,currencyservice,f1,1,2,1,False,True
RE3-OB,currencyservice_f1_2.json,currencyservice,f1,2,1,1,True,True
RE3-OB,currencyservice_f1_3.json,currencyservice,f1,3,2,1,False,True
RE3-OB,emailservice_f1_1.json,emailservice,f1,1,2,1,False,True
RE3-OB,emailservice_f1_2.json,emailservice,f1,2,2,1,False,True
RE3-OB,emailservice_f1_3.json,emailservice,f1,3,2,1,False,True
RE3-OB,emailservice_f2_1.json,emailservice,f2,1,2,1,False,True
RE3-OB,emailservice_f2_2.json,emailservice,f2,2,2,1,False,True
RE3-OB,emailservice_f2_3.json,emailservice,f2,3,2,1,False,True
RE3-OB,emailservice_f3_1.json,emailservice,f3,1,2,1,False,True
RE3-OB,emailservice_f3_2.json,emailservice,f3,2,2,1,False,True
RE3-OB,emailservice_f3_3.json,emailservice,f3,3,2,1,False,True
RE3-OB,emailservice_f4_1.json,emailservice,f4,1,2,1,False,True
RE3-OB,emailservice_f4_2.json,emailservice,f4,2,2,1,False,True
RE3-OB,emailservice_f4_3.json,emailservice,f4,3,2,1,False,True
RE3-OB,emailservice_f5_1.json,emailservice,f5,1,2,1,False,True
RE3-OB,emailservice_f5_2.json,emailservice,f5,2,2,1,False,True
RE3-OB,emailservice_f5_3.json,emailservice,f5,3,,,False,False
RE3-TT,ts-auth-service_f1_1.json,ts-auth-service,f1,1,1,1,True,True
RE3-TT,ts-auth-service_f1_2.json,ts-auth-service,f1,2,1,1,True,True
RE3-TT,ts-auth-service_f1_3.json,ts-auth-service,f1,3,1,1,True,True
RE3-TT,ts-auth-service_f1_4.json,ts-auth-service,f1,4,1,1,True,True
RE3-TT,ts-auth-service_f2_1.json,ts-auth-service,f2,1,1,1,True,True
RE3-TT,ts-auth-service_f2_2.json,ts-auth-service,f2,2,1,1,True,True
RE3-TT,ts-auth-service_f2_3.json,ts-auth-service,f2,3,1,1,True,True
RE3-TT,ts-auth-service_f2_4.json,ts-auth-service,f2,4,1,1,True,True
RE3-TT,ts-auth-service_f3_1.json,ts-auth-service,f3,1,1,1,True,True
RE3-TT,ts-auth-service_f3_2.json,ts-auth-service,f3,2,1,1,True,True
RE3-TT,ts-auth-service_f3_3.json,ts-auth-service,f3,3,1,1,True,True
RE3-TT,ts-auth-service_f3_4.json,ts-auth-service,f3,4,1,1,True,True
RE3-TT,ts-auth-service_f4_1.json,ts-auth-service,f4,1,1,1,True,True
RE3-TT,ts-auth-service_f4_2.json,ts-auth-service,f4,2,1,1,True,True
RE3-TT,ts-auth-service_f4_3.json,ts-auth-service,f4,3,1,1,True,True
RE3-TT,ts-route-service_f1_1.json,ts-route-service,f1,1,1,1,True,True
RE3-TT,ts-route-service_f1_2.json,ts-route-service,f1,2,1,1,True,True
RE3-TT,ts-route-service_f1_3.json,ts-route-service,f1,3,1,1,True,True
RE3-TT,ts-route-service_f2_1.json,ts-route-service,f2,1,1,1,True,True
RE3-TT,ts-route-service_f2_2.json,ts-route-service,f2,2,1,1,True,True
RE3-TT,ts-route-service_f2_3.json,ts-route-service,f2,3,1,1,True,True
RE3-TT,ts-route-service_f3_1.json,ts-route-service,f3,1,1,1,True,True
RE3-TT,ts-route-service_f3_1_1.json,ts-route-service,f3,1,1,1,True,True
RE3-TT,ts-route-service_f3_1_2.json,ts-route-service,f3,1,1,1,True,True
RE3-TT,ts-route-service_f3_1_3.json,ts-route-service,f3,1,1,1,True,True
RE3-TT,ts-route-service_f3_2.json,ts-route-service,f3,2,1,1,True,True
RE3-TT,ts-route-service_f3_3.json,ts-route-service,f3,3,1,1,True,True
RE3-TT,ts-route-service_f4_1.json,ts-route-service,f4,1,1,1,True,True
RE3-TT,ts-route-service_f4_2.json,ts-route-service,f4,2,1,1,True,True
RE3-TT,ts-route-service_f4_3.json,ts-route-service,f4,3,1,1,True,True
